Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1252195407
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	AncTag	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          qDG
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 1.00 
Node reconstruction / fossilisation:
	MRCA RecNode AncTag
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	RecNode P(D)	RecNode P(G)	
1194000	-7.299005	283	4.252886	4.252886	0.107349	0.892651	0.991562	0.008438	
1195000	-9.303477	391	1.264734	1.264734	0.030568	0.969432	0.998299	0.001701	
1196000	-9.058675	177	1.534580	1.534580	0.028503	0.971497	0.991785	0.008215	
1197000	-8.828034	458	1.865749	1.865749	0.038213	0.961787	0.994474	0.005526	
1198000	-7.663072	283	2.786154	2.786154	0.050946	0.949054	0.994784	0.005216	
1199000	-8.468334	20	2.517330	2.517330	0.051617	0.948383	0.994838	0.005162	
1200000	-8.227895	135	1.646094	1.646094	0.051596	0.948404	0.995604	0.004396	
1201000	-7.715254	250	3.538881	3.538881	0.108098	0.891902	0.984449	0.015551	
1202000	-9.306750	161	1.241171	1.241171	0.022591	0.977409	0.903994	0.096006	
1203000	-7.911133	244	7.437072	7.437072	0.256339	0.743661	0.836405	0.163595	
1204000	-8.237918	146	2.732791	2.732791	0.058959	0.941041	0.958529	0.041471	
1205000	-8.347251	418	5.096199	5.096199	0.136269	0.863731	0.922651	0.077349	
1206000	-9.520462	390	0.994926	0.994926	0.017435	0.982565	0.995677	0.004323	
1207000	-8.347664	232	1.620470	1.620470	0.021186	0.978814	0.991449	0.008551	
1208000	-9.620868	309	1.207289	1.207289	0.010532	0.989468	0.994160	0.005840	
1209000	-8.662112	451	1.877304	1.877304	0.029442	0.970558	0.972275	0.027725	
1210000	-8.646723	29	2.050111	2.050111	0.030688	0.969312	0.984320	0.015680	
1211000	-7.664951	46	3.676667	3.676667	0.057954	0.942046	0.992669	0.007331	
1212000	-7.883919	182	4.568293	4.568293	0.231969	0.768031	0.957454	0.042546	
1213000	-9.158182	248	1.866609	1.866609	0.025178	0.974822	0.988643	0.011357	
1214000	-9.097690	152	2.208246	2.208246	0.046570	0.953430	0.981583	0.018417	
1215000	-8.236642	315	5.374892	5.374892	0.191098	0.808902	0.900199	0.099801	
1216000	-7.819229	412	2.525565	2.525565	0.058036	0.941964	0.876547	0.123453	
1217000	-7.517849	101	5.581186	5.581186	0.215912	0.784088	0.977377	0.022623	
1218000	-11.247428	453	0.619264	0.619264	0.003013	0.996987	0.909505	0.090495	
1219000	-8.884686	222	1.935522	1.935522	0.025271	0.974729	0.868720	0.131280	
1220000	-9.496276	300	1.000165	1.000165	0.014535	0.985465	0.847699	0.152301	
1221000	-8.514572	315	3.628880	3.628880	0.110569	0.889431	0.931456	0.068544	
1222000	-9.088297	177	1.509394	1.509394	0.027622	0.972378	0.991923	0.008077	
1223000	-9.800193	462	0.849857	0.849857	0.004820	0.995180	0.996063	0.003937	
